m/z	I	S/N	Res.	A %	
459.13858	2958667	8.9	236891	4.1	
459.14487	16990542	59.9	270069	24.1	
459.15074	4080976	13.0	244884	5.7	
459.16011	6027603	20.1	239214	8.8	
459.16594	12210517	42.5	266761	17.3	
459.18122	9744731	33.6	280329	13.4	
459.20244	2980195	9.0	315563	2.9	
460.11198	3244720	9.9	264257	4.5	
460.11635	3513010	10.9	302605	3.6	
460.12715	3185334	9.7	273304	3.7	
460.13142	3994295	12.7	275882	4.5	
460.14829	4690622	15.2	286883	5.5	
460.15271	4283071	13.7	282807	5.2	
460.16938	3280581	10.1	326673	3.0	
460.18470	2960075	8.9	333364	2.7	
461.08780	4971542	16.2	246978	7.0	
461.10295	7369756	24.9	265186	10.1	
461.10888	3576862	11.1	254382	5.5	
461.11813	3587105	11.2	307760	3.7	
461.12419	13505571	47.2	262892	20.2	
461.12998	3271718	10.0	269123	4.1	
