m/z	I	S/N	Res.	I %	
552.21693	4453630	13.3	227171	0.3	
553.09888	7554633	23.8	219404	0.6	
553.13514	12459606	40.4	216413	0.9	
553.15634	4544095	13.6	216733	0.3	
553.17154	31374948	104.6	219971	2.4	
553.19251	2780780	7.6	218309	0.2	
553.20790	12643954	41.1	226366	1.0	
554.10661	4939714	14.9	233735	0.4	
554.13809	3539917	10.2	204761	0.3	
554.14300	10387407	33.4	220624	0.8	
554.16413	4099031	12.1	201050	0.3	
554.17483	10039259	32.2	209872	0.8	
554.17945	8589277	27.3	210198	0.7	
554.21143	3536873	10.2	246042	0.3	
555.11455	5167417	15.7	209538	0.4	
555.12901	2553150	6.8	239794	0.2	
555.15075	19054918	62.8	214226	1.4	
555.16589	3318092	9.4	269685	0.3	
555.17201	3441998	9.8	193392	0.3	
555.18722	34750804	116.1	216892	2.6	
555.22354	5960034	18.4	235458	0.5	
556.08583	3310241	9.4	275928	0.3	
556.12221	5571247	17.1	219787	0.4	
556.15426	5876411	18.1	207473	0.4	
556.15862	8880828	28.3	217673	0.7	
556.17587	2635459	7.1	268677	0.2	
556.19048	10306248	33.1	209447	0.8	
556.19512	5292746	16.1	217159	0.4	
557.09375	3549206	10.2	216334	0.3	
557.13009	7117860	22.3	224002	0.5	
557.14516	5049385	15.3	212406	0.4	
557.16640	15402033	50.4	216656	1.2	
557.18174	5286967	16.1	219995	0.4	
557.20282	13587518	44.3	222450	1.0	
558.10160	4056457	11.9	231580	0.3	
558.13792	5498263	16.8	222520	0.4	
558.15298	3802524	11.1	250986	0.3	
558.16987	4699555	14.1	196178	0.4	
558.17431	6614436	20.6	226876	0.5	
558.20636	2952624	8.2	257284	0.2	
559.10930	3704571	10.7	223392	0.3	
559.12467	3116801	8.7	228839	0.2	
559.14579	7980809	25.2	217451	0.6	
559.16100	13805326	45.0	219275	1.0	
559.18210	14616342	47.8	219812	1.1	
559.19734	4458268	13.3	222511	0.3	
559.21881	3234595	9.1	238191	0.2	
559.29137	2821950	7.7	232193	0.2	
559.32778	7896907	25.0	218202	0.6	
560.11717	3564652	10.3	229463	0.3	
560.15366	4003961	11.7	236570	0.3	
560.16441	5460093	16.7	218384	0.4	
560.16875	3766399	10.9	227779	0.3	
560.18546	4358277	12.9	214738	0.3	
560.18995	3690631	10.7	232104	0.3	
560.33111	3071162	8.6	244208	0.2	
561.12491	4121051	12.1	245483	0.3	
561.14032	8436193	26.8	232180	0.6	
561.16133	6988265	21.9	216373	0.5	
561.17661	22186478	73.4	223447	1.7	
561.17954	2636271	7.1	439821	0.2	
561.19769	4618742	13.8	236239	0.3	
561.30660	3039773	8.5	215576	0.2	
561.56166	2681466	7.3	240496	0.2	
562.11179	3682114	10.6	213346	0.3	
562.13292	3278666	9.3	234321	0.2	
562.14803	5368655	16.4	223472	0.4	
562.16905	2784087	7.6	213990	0.2	
562.18008	7959387	25.2	207461	0.6	
