m/z	I	S/N	Res.	I %	
514.17443	2963148	7.9	265959	2.2	
514.17801	3270349	8.9	303351	2.5	
514.18022	4105934	11.6	308902	3.1	
514.19547	2777812	7.3	232105	2.1	
515.11355	4234309	12.0	193091	3.2	
515.12971	2555979	6.6	255275	1.9	
515.13475	9979981	30.7	233367	7.5	
515.14100	2979920	7.9	199176	2.2	
515.15008	7471187	22.5	238217	5.6	
515.15595	9562198	29.3	246620	7.2	
515.16237	3229784	8.7	287544	2.4	
515.16501	2991193	8.0	202173	2.2	
515.17110	12548188	39.0	254068	9.4	
515.17705	3614814	10.0	270876	2.7	
515.18647	5451874	16.0	268165	4.1	
515.19221	9640036	29.6	266389	7.2	
515.20743	8042602	24.4	258278	6.0	
515.21333	9058413	27.7	237923	6.8	
516.13827	2729439	7.1	314085	2.0	
516.15734	4229607	12.0	310104	3.2	
516.15962	3174888	8.6	366009	2.4	
516.17459	3375598	9.2	260533	2.5	
516.18984	2554356	6.5	199857	1.9	
516.19379	3000821	8.0	341666	2.3	
516.19600	2945526	7.8	324616	2.2	
516.21090	3523068	9.7	221169	2.6	
517.11395	3495781	9.6	172622	2.6	
517.12655	3867498	10.8	252988	2.9	
517.12938	5768043	17.0	245637	4.3	
517.13533	4592494	13.2	250859	3.4	
517.14486	4515698	12.9	200933	3.4	
517.15045	13441908	41.9	252994	10.1	
517.15650	2997110	8.0	203071	2.2	
517.16271	2681721	7.0	346203	2.0	
517.16574	8084346	24.5	266281	6.1	
517.17152	9268092	28.4	256373	7.0	
517.17810	2599807	6.7	326173	2.0	
517.18085	2853760	7.5	217646	2.1	
517.18684	12422018	38.6	250662	9.3	
517.20209	4924297	14.2	263330	3.7	
517.20539	3468170	9.5	252872	2.6	
517.20790	5208971	15.2	287425	3.9	
517.22330	4862865	14.0	255291	3.7	
517.31695	11479990	35.6	229361	8.6	
518.13705	3358973	9.2	268995	2.5	
518.15390	3724548	10.3	331163	2.8	
518.15818	3026182	8.1	312391	2.3	
518.17290	2960652	7.9	334602	2.2	
518.17519	3093773	8.3	322709	2.3	
518.18494	2897168	7.7	261173	2.2	
518.19009	4015378	11.3	254141	3.0	
518.19453	3097876	8.3	242643	2.3	
518.32021	4427079	12.6	263773	3.3	
519.09343	2935418	7.8	282548	2.2	
519.10858	4638336	13.3	200347	3.5	
519.12385	3067782	8.2	161032	2.3	
519.12962	6649481	19.9	245027	5.0	
519.13637	3003019	8.0	286507	2.3	
519.14482	10325647	31.8	242143	7.8	
519.15089	7159441	21.5	260541	5.4	
519.16008	3568277	9.8	222658	2.7	
519.16605	16252567	51.1	245671	12.2	
519.18131	7741085	23.4	252098	5.8	
519.18720	8294048	25.2	236447	6.2	
519.19633	2561699	6.6	289654	1.9	
519.20234	10149541	31.2	251969	7.6	
519.21757	4237996	12.0	218034	3.2	
519.23872	2912948	7.7	286252	2.2	
520.13116	2854935	7.5	372127	2.1	
520.15261	3371039	9.2	337000	2.5	
520.16741	2787365	7.3	386310	2.1	
520.16958	5468198	16.0	286077	4.1	
520.17377	3878952	10.8	255173	2.9	
520.18850	2719790	7.1	313985	2.0	
520.19086	2603054	6.7	356088	2.0	
520.20570	3167284	8.5	237793	2.4	
521.10295	2677144	6.9	196652	2.0	
521.10914	2753947	7.2	262619	2.1	
521.12412	5452193	16.0	219726	4.1	
521.13037	3243427	8.8	251931	2.4	
521.13989	3758503	10.5	223473	2.8	
521.14528	10789289	33.3	257092	8.1	
521.15153	3174828	8.6	278684	2.4	
521.15756	3074478	8.2	376489	2.3	
521.16046	10756527	33.2	240920	8.1	
521.16638	6334898	18.8	252336	4.8	
521.17318	2998708	8.0	331748	2.3	
521.17604	3964341	11.1	221951	3.0	
521.18162	14385591	45.0	254859	10.8	
