m/z	I	S/N	Res.	A %	I %	
389.07593	3179488	11.3	329524	0.5	0.5	
389.08783	13458402	54.0	327046	2.4	2.3	
389.09116	2517475	8.5	324058	0.4	0.4	
389.10893	3446759	12.4	356171	0.5	0.6	
389.12417	9608170	38.0	339658	1.6	1.6	
389.16068	4815858	18.1	354141	0.7	0.8	
390.09116	2874546	10.0	365780	0.4	0.5	
391.03070	9760117	38.6	346400	1.6	1.6	
391.06708	42474876	174.6	328626	7.7	7.1	
391.10347	17202564	69.6	332537	3.1	2.9	
391.13984	8883596	35.0	330393	1.6	1.5	
391.17962	3745172	13.6	341053	0.5	0.6	
392.07038	8416846	33.0	340521	1.4	1.4	
392.10679	4349526	16.1	343772	0.7	0.7	
393.00989	2485011	8.4	404659	0.3	0.4	
393.04633	12410650	49.7	334061	2.2	2.1	
393.08273	19734306	80.1	326195	3.7	3.3	
393.11912	18857770	76.5	328562	3.5	3.2	
393.15547	3039025	10.7	365039	0.4	0.5	
393.19524	14012218	56.3	321621	2.6	2.4	
394.08611	4127734	15.2	330078	0.7	0.7	
394.12243	3050493	10.7	348215	0.4	0.5	
394.19860	2860046	9.9	325073	0.4	0.5	
395.02553	3501245	12.5	333541	0.6	0.6	
395.06199	22593732	90.9	326230	4.4	3.8	
395.08314	4759753	17.6	330576	0.8	0.8	
395.09839	22347980	89.9	325276	4.4	3.8	
395.11950	6777041	25.9	340492	1.1	1.1	
395.13478	7399636	28.5	325994	1.3	1.2	
395.21090	2762980	9.4	387491	0.3	0.5	
396.06536	3860891	13.9	361094	0.6	0.6	
396.10174	4202915	15.4	345877	0.6	0.7	
396.98377	2750048	9.4	319967	0.4	0.5	
397.02014	3668584	13.2	358219	0.5	0.6	
397.04128	6339180	24.1	344334	1.0	1.1	
397.05637	2473583	8.2	318917	0.4	0.4	
397.05988	14037616	55.8	323850	2.6	2.4	
397.07765	23167604	93.3	322107	4.5	3.9	
397.09296	2624119	8.9	342651	0.3	0.4	
397.09879	12329592	48.7	321230	2.3	2.1	
397.11401	14336636	57.0	330194	2.7	2.4	
397.15036	2945668	10.2	357340	0.4	0.5	
397.22655	41067156	166.8	318219	8.1	6.9	
397.22796	3617428	12.9	626762	0.4	0.6	
398.04465	2513733	8.4	328159	0.3	0.4	
398.08106	4210509	15.4	330538	0.7	0.7	
398.11730	3241813	11.4	376429	0.4	0.5	
398.22994	7154541	27.5	329718	1.2	1.2	
399.03576	5080093	19.0	347171	0.8	0.9	
399.05691	4768801	17.7	322314	0.9	0.8	
399.07214	5172260	19.3	337942	0.8	0.9	
399.07541	2710565	9.2	346335	0.4	0.5	
399.09330	9290793	36.3	320749	1.7	1.6	
399.10852	4975660	18.5	299266	0.9	0.8	
